source_group_id,template,norm_ro_ne_norm_rs,render_ro_ne_rs,render_deterministic
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,T4,True,True,True
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,T5,True,True,True
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,T0,True,True,True
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,T3,True,True,True
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,T4,True,True,True
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,T5,True,True,True
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,T0,True,True,True
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,T3,True,True,True
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,T4,True,True,True
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,T5,True,True,True
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,T0,True,True,True
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,T3,True,True,True
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,T4,True,True,True
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,T5,True,True,True
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,T0,True,True,True
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,T3,True,True,True
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,T4,True,True,True
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,T5,True,True,True
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,T0,True,True,True
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,T3,True,True,True
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,T4,True,True,True
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,T5,True,True,True
