layer,C,mean_auroc,mean_auprc
20,1.0,0.9281131568738623,0.9801013094215125
21,0.0001,0.9016540174204822,0.9688104121045387
21,0.001,0.916498148203409,0.9745121944268927
21,0.01,0.9128991226761363,0.9731532230701836
21,0.1,0.9109450793934993,0.9726709793327863
21,1.0,0.907864457441835,0.9718897324331432
22,0.0001,0.8805940172215425,0.9623522674488015
22,0.001,0.8914643699083884,0.9661313525332134
22,0.01,0.8852666951813501,0.9641772843867553
22,0.1,0.881948174562913,0.963243545595698
22,1.0,0.8783559461404049,0.9617507649982482
23,0.0001,0.8594778165710097,0.9570501346345314
23,0.001,0.874812582269835,0.9619179890839495
23,0.01,0.8660604809697645,0.9582840556569263
23,0.1,0.8606017841571093,0.956157198732555
23,1.0,0.8564304755652372,0.9544448084586052
24,0.0001,0.8356629166542329,0.9461715510145214
24,0.001,0.8556259719030898,0.9516446070917433
24,0.01,0.8483268760838067,0.9475073594287926
24,0.1,0.8402473565893785,0.9441367664391189
24,1.0,0.8371966584769843,0.9426712784009961
25,0.0001,0.8162832933796199,0.9362266828337068
25,0.001,0.8297121757698136,0.9390576398915995
25,0.01,0.8205255571139162,0.9349433307434584
25,0.1,0.8138036349590019,0.9311276684521846
25,1.0,0.8087228405929728,0.9293775730733322
26,0.0001,0.812824354523722,0.9366700214587522
26,0.001,0.8268854091028155,0.9413024942777989
26,0.01,0.8166234801839529,0.9363840176235916
26,0.1,0.8092811149904342,0.9324999446810164
26,1.0,0.8046206220842906,0.9277261322266674
27,0.0001,0.7837201466185232,0.9232448904262778
27,0.001,0.8184807061694503,0.9351977653520507
27,0.01,0.8129410243402664,0.9307521533917112
27,0.1,0.8095445442458363,0.9285312637049806
27,1.0,0.8089145272364962,0.9289895720476957
28,0.0001,0.7695164357308878,0.9199715051566262
28,0.001,0.8047475704495042,0.9321214013040235
28,0.01,0.8060982877927314,0.9325637443421722
28,0.1,0.8034078776786394,0.9301578675430798
28,1.0,0.8002204500014921,0.9282777171362145
