bootstrap_iter,dAUROC1_Mrep_minus_Bknowledge,dAUROC2_Mhybrid_minus_Bknowledge
353,0.232069,0.235103
354,0.124473,0.133353
355,0.170074,0.176741
356,0.217941,0.220801
357,0.111656,0.122277
358,0.173333,0.181630
359,0.181304,0.191789
360,0.122298,0.129545
361,0.190636,0.199510
362,0.170298,0.171807
363,0.182270,0.194461
364,0.141317,0.146636
365,0.177926,0.186667
366,0.269639,0.275341
367,0.250467,0.256692
368,0.162345,0.171586
369,0.266963,0.266815
370,0.152942,0.162661
371,0.204075,0.205420
372,0.196136,0.206959
373,0.211620,0.217038
374,0.173103,0.176690
375,0.179856,0.186408
376,0.150877,0.155477
377,0.171792,0.174588
378,0.129122,0.139043
379,0.150518,0.156268
380,0.072258,0.080484
381,0.300632,0.299556
382,0.215420,0.219104
383,0.170869,0.179406
384,0.266073,0.269567
385,0.187053,0.195300
386,0.101802,0.112561
387,0.158341,0.165811
388,0.194988,0.197396
389,0.100062,0.110644
390,0.181684,0.184018
391,0.196414,0.201241
392,0.165292,0.173959
393,0.168615,0.175392
394,0.213333,0.215852
395,0.109555,0.116869
396,0.169836,0.179856
397,0.063393,0.073750
398,0.274807,0.279668
399,0.194600,0.196934
400,0.233636,0.238052
401,0.222133,0.224030
402,0.209002,0.211774
403,0.148020,0.156524
404,0.180998,0.186047
405,0.203383,0.208694
406,0.104802,0.111990
407,0.145845,0.151596
408,0.151444,0.156843
409,0.224688,0.225884
410,0.279997,0.280490
411,0.138804,0.144555
412,0.266389,0.270989
413,0.152450,0.161616
414,0.205890,0.211001
415,0.175067,0.185466
416,0.102498,0.109422
417,0.245139,0.249330
418,0.195153,0.201814
419,0.153534,0.161374
420,0.194785,0.206904
421,0.287694,0.288711
422,0.101778,0.107852
423,0.228275,0.230268
424,0.121663,0.129799
425,0.289527,0.291239
426,0.180808,0.188496
427,0.143114,0.152171
428,0.185509,0.193474
429,0.175226,0.182228
430,0.214632,0.224718
431,0.176516,0.184028
432,0.198683,0.201249
433,0.185882,0.192203
434,0.174392,0.181295
435,0.171141,0.178874
436,0.140296,0.144148
437,0.163700,0.167202
438,0.148936,0.156987
439,0.254543,0.257199
440,0.238300,0.243410
441,0.105152,0.121981
442,0.144048,0.151955
443,0.144115,0.152362
444,0.236162,0.242172
445,0.165110,0.168690
446,0.234205,0.236301
447,0.124858,0.137330
448,0.199142,0.204997
449,0.217321,0.220414
450,0.149923,0.155576
451,0.135686,0.138367
452,0.160431,0.166525
453,0.063764,0.083333
454,0.154577,0.162179
455,0.122302,0.132451
456,0.231481,0.238593
457,0.185863,0.187643
458,0.153169,0.159653
459,0.183850,0.190322
460,0.190108,0.193464
461,0.118729,0.127266
462,0.216766,0.218608
463,0.199375,0.205886
464,0.241052,0.248020
465,0.070074,0.083111
466,0.255778,0.260370
467,0.259991,0.259850
468,0.259016,0.257478
469,0.234919,0.241695
470,0.115301,0.124036
471,0.195439,0.199955
472,0.101668,0.111766
473,0.257184,0.262829
474,0.078080,0.087108
475,0.216450,0.220436
476,0.188758,0.191489
477,0.227142,0.233899
478,0.211420,0.217571
479,0.018588,0.030178
480,0.243333,0.248222
481,0.184229,0.188399
482,0.077631,0.084531
483,0.097917,0.112874
484,0.123448,0.132966
485,0.060138,0.068414
486,0.237349,0.245687
487,0.144005,0.154474
488,0.292296,0.297333
489,0.131954,0.142997
490,0.261052,0.264706
491,0.148272,0.160741
492,0.190547,0.199050
493,0.083890,0.092112
494,0.124771,0.133797
495,0.161931,0.167448
496,0.163594,0.169293
497,0.280403,0.285403
498,0.175455,0.179870
499,0.174643,0.181062
500,0.166412,0.170862
501,0.119827,0.134850
502,0.119034,0.125517
503,0.167881,0.170257
504,0.206349,0.210240
505,0.061155,0.072197
506,0.112133,0.122772
507,0.146425,0.151557
508,0.264322,0.266474
509,0.203506,0.212338
510,0.091549,0.097927
511,0.262527,0.263928
512,0.168952,0.178436
513,0.264682,0.267074
514,0.273422,0.274573
515,0.134866,0.142971
516,0.197772,0.202051
517,0.174788,0.176102
