source_group_id,cell,r_end,c_end,d_pos,order_ok,r_end_tok,c_end_tok,d_pos_tok,prediction_match,d1_d_raw,our_d_raw,d_raw_abs_diff,seq_len
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,SO,99,110,118,True,9853,56578,198,True,-19.03125,-19.03125,0.0,119
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,SS,99,107,115,True,9853,9853,198,True,-15.111328125,-15.111328125,0.0,116
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,OO,106,115,123,True,19519,19519,198,True,17.375,17.375,0.0,124
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,OS,106,115,123,True,19519,51279,198,True,-21.625,-21.625,0.0,124
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,SO,106,115,123,True,51279,19519,198,True,-1.9375,-1.9375,0.0,124
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,SS,106,115,123,True,51279,51279,198,True,-15.125,-15.125,0.0,124
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,OO,113,122,130,True,3412,3412,198,True,18.25,18.25,0.0,131
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,OS,113,122,130,True,3412,65122,198,True,-21.21875,-21.21875,0.0,131
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,SO,113,122,130,True,65122,3412,198,True,9.21875,9.21875,0.0,131
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,SS,113,122,130,True,65122,65122,198,True,-16.431640625,-16.431640625,0.0,131
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,OO,106,115,123,True,459,459,198,True,16.26953125,16.26953125,0.0,124
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,OS,106,114,122,True,459,22351,198,True,-20.625,-20.625,0.0,123
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,SO,105,114,122,True,22351,459,198,True,-18.09375,-18.09375,0.0,123
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,SS,105,113,121,True,22351,22351,198,True,11.09375,11.09375,0.0,122
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,OO,95,104,112,True,36508,36508,198,True,16.7109375,16.7109375,0.0,113
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,OS,95,104,112,True,36508,23867,198,True,-22.75,-22.75,0.0,113
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,SO,95,104,112,True,23867,36508,198,True,-19.1875,-19.1875,0.0,113
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,SS,95,104,112,True,23867,23867,198,True,-6.125,-6.125,0.0,113
